VB,NNS,IN,NN,NNS,VBN,IN,NN
IN,VBD,JJ,NN,DT,VBZ,RB,JJ
RB,JJ,VBP,VBG,RB,TO,DT,NN
IN,NNS,IN,NN,DT,NN,CC,NN
RB,RB,VB,NN,DT,NN,DT,NN
VB,PRP$,NNS,RB,VB,IN,PRP$,NN
EX,VBD,DT,JJ,NNS,CC,NN,NNS
RB,JJ,NN,VBG,NN,NN,CC,NNS
VBD,DT,NN,CC,NN,VBD,PRP,NNS
NNS,VBP,RP,DT,NN,NN,RB,VBD
VBN,PRP,IN,WRB,NNS,MD,RB,VB
NN,WDT,VBP,RB,JJ,NN,NN,NN
CC,JJ,NN,WRB,DT,NN,VBZ,JJ
NN,PRP,VBP,DT,NNS,RP,RB,RB
CC,PRP$,NN,MD,VB,IN,CC,IN
PRP,RB,VBD,PRP,VB,DT,NN,IN
RB,VB,PRP,RB,VB,PRP,RB,VB
CC,JJ,CC,JJ,NN,NN,IN,NN
VBP,RB,PRP,VB,JJ,NN,RB,VBD
VB,PRP,CC,PRP$,NN,TO,DT,NN
CC,DT,NN,IN,NN,NNS,VBZ,JJ
NN,VBP,VBN,TO,VB,VBN,RP,RB
VBD,DT,NN,VB,DT,NNS,VBP,PRP
NN,VBP,DT,NN,IN,IN,DT,NN
IN,PDT,DT,JJ,IN,PRP,VBD,JJ
NN,VBD,PRP,MD,VB,PRP,VBP,NN
IN,NN,TO,VB,NN,NN,JJ,NN
IN,DT,VBZ,WRB,JJ,VBP,IN,PRP
PRP,VBP,IN,PRP,CC,VB,VBD,NN
NN,VBP,IN,PRP,VBP,IN,DT,NN
NN,VBD,NN,VBD,NN,IN,PRP$,NN
VB,CC,VB,VB,WRB,DT,JJ,NN
WP,VBD,VBG,DT,NN,IN,FW,NN
PRP,VBN,DT,VBN,RP,NN,IN,PRP
NN,IN,JJ,PRP,VBN,RP,DT,RB
CC,NN,NN,MD,RB,JJ,DT,NNS
PRP,VBP,RB,VBD,DT,NN,TO,VB
EX,VBD,NNS,JJ,MD,RB,VB,RB
JJ,VBP,PRP,VBD,VBN,VBG,PRP$,NN
UH,DT,JJR,VBP,JJ,IN,DT,NN
CC,JJ,PRP,VBP,VB,WRB,TO,VB
UH,IN,PRP,MD,VB,IN,PRP,MD
DT,NN,VBD,PRP,IN,IN,NN,NN
DT,VBZ,PRP$,NN,DT,VBP,VBP,NN
NN,NN,NN,WDT,VBZ,DT,NN,NN
CC,RB,DT,NN,NN,NN,NN,NN
NN,NN,VBP,IN,PRP,MD,VB,PRP
DT,RB,JJ,NN,VBP,TO,VB,PRP
CC,VB,PRP,VBP,VBP,RB,NN,VB
PRP,VBD,DT,NN,VBD,IN,IN,NN
NN,PDT,DT,NNS,VBP,PDT,DT,NNS
RB,PRP,VBZ,JJ,RB,PRP,VBZ,JJ
VB,DT,NN,RP,IN,PRP$,NN,JJ
CC,DT,NN,IN,NNS,IN,DT,NN
DT,JJ,VBD,NN,VBZ,VBN,IN,NN
IN,DT,NN,PRP,VBP,DT,JJ,NN
NN,MD,VB,VBN,IN,PRP,VBD,NN
NN,JJS,NNS,RB,VBZ,CD,IN,NN
VB,PRP,RB,IN,PRP,MD,VB,JJ
RB,VBN,DT,NN,IN,NN,VBD,RB
NN,VBD,IN,DT,JJ,NN,NN,NNS
RB,RB,NN,VBD,PRP,VB,VBD,IN
JJ,NN,WP,PRP,VBP,WDT,VBP,IN
RB,PRP,VBP,WP,PRP,VBP,TO,VB
RB,RB,VB,RP,RB,RB,VB,RP
EX,VBZ,NN,DT,NN,TO,VB,PRP
NNS,VBP,RB,VB,PRP,IN,DT,NN
PRP,MD,VB,IN,PRP$,NN,IN,NN
NN,VBD,PRP$,NN,NN,VBD,PRP,RP
PRP,VB,PRP$,NN,PRP,VBZ,PRP,RP
PRP,VBP,DT,NN,VBN,VBG,JJ,NN
DT,NN,PRP,VBZ,JJ,NN,NN,VBD
DT,VBZ,WRB,JJ,VBP,PRP,VBP,IN
VB,RP,NN,NN,JJ,NN,POS,NN
IN,PRP$,NN,PRP,VBD,NN,PRP,VBP
PRP,VBZ,DT,VBG,RB,TO,PRP,RB
JJ,NN,IN,DT,NN,IN,PRP$,NN
NN,NN,NN,NN,NN,NN,VBZ,NNS
RB,IN,PRP,PRP,VBZ,IN,DT,NNS
CD,JJ,NN,VBZ,IN,DT,NN,NNS
NN,VBD,JJ,VBN,DT,JJ,NN,NN
VBD,IN,JJ,NN,WRB,PRP$,NN,VBD
CD,NN,CC,VBP,PRP$,NN,NN,NN
CC,PRP,RB,VBP,CD,JJR,NN,VBD
NN,VBP,RB,VBP,RB,JJ,IN,PRP
